nama_motor,lokasi,harga,deskripsi,kapasitas_mesin,tahun,transmisi,kilometer,url,merk
Kawasaki D-tracker 150,Kota Jakarta Barat,"Rp19,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2015,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=248002,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=247835,Kawasaki
Kawasaki W 175 Cafe,Kota Jakarta Timur,"Rp24,500,000",FOR SALE KAWASAKI W175 CAFERACER 2019Body : Grade A Nilai 98%Mesin : Grade A Nilai 97%Ba,175 CC,2019,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=247786,Kawasaki
Kawasaki Ninja 250 Fi,Kab. Tangerang,"Rp44,000,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,250 CC,2017,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=247747,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=247669,Kawasaki
Kawasaki Klx 150 Bf Se,Kota Jakarta Timur,"Rp30,700,000",SUKSES MOTOR PASAR REBOJL RAYA BOGOR KM 28 ,125 CC,2019,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=247581,Kawasaki
Kawasaki Ninja 250 Abs Fi,Kota Jakarta Timur,"Rp55,500,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,250 CC,2018,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-fi?pid=247542,Kawasaki
Kawasaki W175 Se,Kota Jakarta Timur,"Rp23,800,000",SUKSES MOTORWA: 082165978600WEB : www.suksesmotoronline.comGARANSI MESINGRATIS KIRIM,175 CC,2018,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=247223,Kawasaki
Kawasaki Ninja 250 Fi,Kota Jakarta Timur,"Rp36,100,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,250 CC,2015,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=247289,Kawasaki
Kawasaki Ninja 250 Fi,Kota Jakarta Timur,"Rp50,500,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,250 CC,2018,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=247307,Kawasaki
Kawasaki Ninja 250 Abs Fi,Kota Jakarta Timur,"Rp55,500,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,250 CC,2018,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-fi?pid=247387,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-se?pid=247486,Kawasaki
Kawasaki W175 Se,Kota Jakarta Timur,"Rp23,600,000",marketing iyus 0821-6597-8700,175cc CC,2018,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=247254,Kawasaki
Kawasaki Z 800,Kota Jakarta Barat,"Rp246,000,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,900 CC,2017,Manual,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-z-800?pid=247247,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=247080,Kawasaki
Kawasaki Klx 150,Kota Jakarta Barat,"Rp23,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2017,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150?pid=247009,Kawasaki
Kawasaki D-tracker 150 Se,Kota  Batam,"Rp27,500,000",Kondisi siap pakai barang bagus tingal gas,150 CC,2017,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150-se?pid=246938,Kawasaki
Kawasaki Ninja 250 Fi,Kota Bekasi,"Rp50,000,000",*NEW NINJA 250 Fi KILOMETEER 5 RIBU (ASLI)TAHUN 2018* Mau Tanya Langsung No Whatsapp Goo,250Cc CC,2018,Manual,0 - 1000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=246390,Kawasaki
Kawasaki D-tracker 150,Kota Jakarta Utara,"Rp27,500,000",Dijual Kawasaki D Tracker Tahun 2019 Surat Surat Lengkap Pajak Panjang Plat B Spesifikasi Lihat selengkapnya.,150cc CC,2019,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=246367,Kawasaki
Kawasaki D Tracker 150,Kab. Bandung,"Rp27,500,000","SJM SukamenakMenerima Jual & Beli Motor Bekas Berkualitas, Bergaransi Mesin Dan Surat "" dijamin ",150 CC,2019,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=246352,Kawasaki
Kawasaki Ninja 250 Abs Se,Kota Tangerang,"Rp42,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,250 CC,2016,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-se?pid=246293,Kawasaki
Kawasaki W 175 Cafe,Kab. Bogor,"Rp22,500,000","Kawasaki W175 kondisi like new! Mesin mulus dan KM rendah, ban gambot gondrong, siap untuk digunakan",-,2019,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=246190,Kawasaki
Kawasaki Ninja 250 Abs Se,Kota Jakarta Barat,"Rp38,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,250 CC,2016,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-se?pid=245898,Kawasaki
Kawasaki Hino Sg 175 Cafe Racer,Kota Jakarta Barat,"Rp24,900,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,DSE4202201 CC,2020,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-hino-sg-175-cafe-racer?pid=245888,Kawasaki
Kawasaki W 175 Cafe,Kota Jakarta Barat,"Rp23,900,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,175 CC,2020,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=245880,Kawasaki
Kawasaki D Tracker X,Kota Tangerang,"Rp31,100,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2019,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-x?pid=245875,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=245853,Kawasaki
