,nama_motor,lokasi,harga,kapasitas_mesin,tahun,transmisi,kilometer,merk
1536,Kawasaki Ninja 250 Fi,5,36100000.0,250,2015.0,3,5,3
1537,Kawasaki Ninja 250 Fi,5,50500000.0,250,2018.0,3,4,3
1538,Kawasaki Ninja 250 Abs Fi,5,55500000.0,250,2018.0,3,4,3
1539,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,3,4,3
1540,Kawasaki W175 Se,5,23600000.0,175,2018.0,3,4,3
1541,Kawasaki Z 800,1,246000000.0,900,2017.0,3,3,3
1542,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,3,5,3
1543,Kawasaki Klx 150,1,23500000.0,150,2017.0,3,4,3
1544,Kawasaki D-tracker 150 Se,11,27500000.0,150,2017.0,3,4,3
1545,Kawasaki Ninja 250 Fi,13,50000000.0,250,2018.0,3,1,3
1546,Kawasaki D-tracker 150,7,27500000.0,150,2019.0,3,5,3
1547,Kawasaki D Tracker 150,10,27500000.0,150,2019.0,3,2,3
1548,Kawasaki Ninja 250 Abs Se,9,42500000.0,250,2016.0,3,5,3
1549,Kawasaki W 175 Cafe,6,22500000.0,150,2019.0,3,2,3
1550,Kawasaki Ninja 250 Abs Se,1,38500000.0,250,2016.0,3,4,3
1552,Kawasaki W 175 Cafe,1,23900000.0,175,2020.0,3,4,3
1553,Kawasaki D Tracker X,9,31100000.0,150,2019.0,3,2,3
1554,Yamaha Nmax Abs,1,24500000.0,155,2019.0,3,5,3
1555,Suzuki Gsx R150,8,16900000.0,150,2017.0,4,5,4
1556,Suzuki Satria Fu 150,3,10500000.0,150,2015.0,4,5,4
1557,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,4,4,4
1558,Yamaha Nmax Abs,2,23500000.0,155,2018.0,4,4,4
1559,Suzuki Gsx R150,2,23500000.0,150,2021.0,4,2,4
1560,Yamaha Nmax Abs,1,23500000.0,125,2019.0,4,5,4
1561,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,4,5,4
1562,Suzuki Gsx R150,4,16500000.0,150,2018.0,4,3,4
1563,Suzuki Gsx R150,2,23500000.0,150,2021.0,4,2,4
1564,Suzuki Gsx 150 Bandit,1,18500000.0,150,2018.0,4,5,4
1565,Suzuki Satria F 150,7,12500000.0,150,2017.0,4,4,4
1566,Suzuki Gsx R150,2,17500000.0,150,2019.0,4,4,4
1567,Yamaha Nmax Abs,2,24500000.0,125,2018.0,4,5,4
1568,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,4,4,4
1569,Suzuki Gsx R150,1,18500000.0,150,2018.0,4,5,4
1570,Suzuki Gsx R150,1,15500000.0,150,2017.0,4,4,4
1571,Suzuki Satria F150 Fighter,1,9850000.0,150,2015.0,4,5,4
1572,Suzuki Gsx R150,2,23500000.0,150,2021.0,4,2,4
1573,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,4,5,4
1574,Yamaha Nmax Abs,2,24500000.0,155,2018.0,4,4,4
1575,Suzuki Gsx R150,6,15500000.0,150,2017.0,4,2,4
1576,Yamaha Nmax Abs,1,24500000.0,125,2018.0,4,4,4
1577,Suzuki Satria Fu 150 Mfx,3,11850000.0,150,2017.0,4,5,4
1578,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,4,1
1579,Yamaha Mio M3 125,3,10850000.0,125,2017.0,1,5,1
1580,Yamaha All New Nmax 155,12,28400000.0,155,2020.0,1,5,1
1581,Yamaha Xmax,1,44800000.0,250,2017.0,1,4,1
1582,Yamaha Lexi,2,18900000.0,125,2019.0,1,4,1
1583,Yamaha Nmax Abs,3,23000000.0,155,2018.0,1,4,1
1584,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,4,1
1585,Yamaha R15,3,14855000.0,150,2015.0,1,5,1
1586,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,4,1
1587,Yamaha Nmax Abs,1,25500000.0,155,2020.0,1,4,1
1588,Yamaha All New X-ride 125,4,11300000.0,125,2018.0,1,4,1
1589,Yamaha Aerox 155 Vva R,3,20850000.0,155,2018.0,1,4,1
1590,Yamaha Nmax Abs,2,25000000.0,155,2019.0,1,4,1
1591,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
1592,Yamaha Aerox 155 Vva,1,19500000.0,155,2017.0,1,4,1
1593,Yamaha All New R15 155 Vva,5,24100000.0,155,2018.0,1,5,1
1594,Yamaha All New Nmax 155 Con,4,28800000.0,155,2020.0,1,3,1
1595,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
1596,Yamaha X-ride,6,9800000.0,125,2017.0,1,5,1
1597,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
1598,Yamaha N Max,6,28800000.0,155,2020.0,1,2,1
1599,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,4,1
1600,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,5,1
1601,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
1602,Yamaha Mio S,3,11000000.0,125,2018.0,1,4,1
1603,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,5,1
1604,Yamaha All New Nmax 155,4,29500000.0,155,2021.0,1,3,1
1605,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,5,1
1606,Yamaha Lexi,2,16500000.0,125,2018.0,1,4,1
1607,Yamaha Aerox 155 Vva R,5,18000000.0,155,2017.0,1,4,1
1608,Yamaha Gear 125,4,14000000.0,125,2020.0,1,3,1
1609,Yamaha Nmax Abs,2,24500000.0,155,2020.0,1,4,1
1610,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,5,1
1611,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,5,1
1612,Yamaha Aerox 155 Vva,4,20500000.0,155,2018.0,1,4,1
1613,Yamaha X-ride,4,10000000.0,125,2016.0,1,2,1
1614,Yamaha Nmax Abs,3,24500000.0,155,2018.0,1,4,1
1615,Yamaha Soul Gt,3,10500000.0,125,2015.0,1,5,1
1616,Yamaha Nmax Abs,1,22500000.0,155,2017.0,1,4,1
1617,Yamaha Nmax Abs,3,24850000.0,155,2019.0,1,4,1
1618,Yamaha Lexi,2,17900000.0,125,2019.0,1,5,1
1619,Yamaha N Max,6,25900000.0,150,2018.0,1,3,1
1620,Yamaha V Ixion New Non Ks Ctm,3,12200000.0,155,2016.0,1,5,1
1621,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
1622,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,4,1
1623,Yamaha Xmax,1,44800000.0,250,2017.0,1,4,1
1624,Yamaha Xmax Abs,2,57500000.0,250,2022.0,1,1,1
1625,Yamaha R15 Gp Movistar,2,18000000.0,155,2016.0,1,4,1
1626,Yamaha X-ride,4,10000000.0,125,2016.0,1,3,1
1627,Yamaha R15 Gp Movistar,2,18000000.0,155,2016.0,1,4,1
1628,Yamaha N Max,5,24400000.0,155,2018.0,1,5,1
1629,Yamaha All New X-ride 125,5,15200000.0,125,2021.0,1,4,1
1630,Yamaha R15 Gp Movistar,3,19700000.0,150,2017.0,1,4,1
1631,Yamaha Nmax Abs,2,24500000.0,125,2019.0,1,5,1
1632,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
1633,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
1634,Yamaha Fino Sporty,1,10800000.0,110,2018.0,1,5,1
1635,Yamaha R15,2,17500000.0,150,2017.0,1,4,1
1636,Yamaha Aerox 155 Vva,3,20850000.0,150,2018.0,1,4,1
1637,Yamaha R15,3,14855000.0,150,2015.0,1,5,1
1638,Yamaha All New R15 155 Vva,5,23900000.0,150,2018.0,1,4,1
1639,Yamaha Gear 125,7,16000000.0,125,2021.0,1,3,1
1640,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,4,1
1641,Yamaha All New Nmax 155,4,29000000.0,155,2020.0,1,2,1
1642,Yamaha Lexi S,2,18900000.0,125,2019.0,1,4,1
1643,Yamaha Nmax Abs,3,24500000.0,155,2018.0,1,4,1
1644,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
1645,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
1646,Yamaha Nmax Abs,1,24500000.0,125,2019.0,1,5,1
1647,Yamaha All New Vixion R,10,17000000.0,125,2018.0,1,3,1
1648,Yamaha Nmax Abs,3,23400000.0,155,2018.0,1,4,1
1649,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,5,1
1650,Yamaha All New R15 155 Vva,1,21000000.0,155,2017.0,1,4,1
1651,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
1652,Yamaha Aerox 155 Vva,3,21500000.0,155,2020.0,1,4,1
1653,Yamaha Aerox 155 Vva R,5,18000000.0,155,2017.0,1,4,1
1654,Yamaha All New Nmax 155 Con,3,24500000.0,155,2018.0,1,5,1
1655,Yamaha Nmax Abs,1,23800000.0,155,2019.0,1,4,1
1656,Yamaha Aerox 155 Vva,4,20000000.0,155,2019.0,1,3,1
1657,Yamaha Freego S,3,12500000.0,125,2019.0,1,5,1
1658,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,4,1
1659,Yamaha Lexi,4,18500000.0,125,2018.0,1,3,1
1660,Yamaha Lexi,2,16500000.0,125,2018.0,1,2,1
1661,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,4,1
1662,Yamaha Lexi,5,17300000.0,125,2018.0,1,5,1
1663,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
1664,Yamaha All New Nmax 155,4,29000000.0,155,2020.0,1,2,1
1665,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
1666,Yamaha Wr 155 R,5,33500000.0,155,2021.0,1,3,1
1667,Yamaha Nmax Abs,3,26700000.0,155,2021.0,1,4,1
1668,Yamaha N Max,4,27200000.0,155,2019.0,1,3,1
1669,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,5,1
1670,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,5,1
1671,Yamaha Nmax Abs,3,25250000.0,155,2020.0,1,4,1
1672,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
1673,Yamaha Lexi,1,16500000.0,125,2019.0,1,4,1
1674,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
1675,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
1676,Yamaha All New Nmax 155 Con,2,32000000.0,155,2021.0,1,2,1
1677,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,4,1
1678,Yamaha R15 Gp Movistar,2,18000000.0,155,2016.0,1,4,1
1679,Yamaha Nmax Abs,9,25000000.0,155,2019.0,1,4,1
1680,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,5,1
1681,Yamaha All New Nmax 155,12,23300000.0,155,2018.0,1,5,1
1682,Yamaha Nmax Abs,2,24000000.0,155,2018.0,1,4,1
1683,Yamaha Xmax,1,44800000.0,250,2017.0,1,4,1
1684,Yamaha Aerox 155 Vva-s,3,20500000.0,155,2019.0,1,4,1
1685,Yamaha Nmax Special Custom,1,24500000.0,155,2019.0,1,4,1
1686,Yamaha Aerox 155 Vva R,3,20850000.0,155,2018.0,1,4,1
1687,Yamaha X-ride,4,10000000.0,125,2016.0,1,2,1
1688,Yamaha Xmax Abs,2,57500000.0,250,2022.0,1,1,1
1689,Yamaha Nmax Abs,3,25500000.0,155,2019.0,1,4,1
1690,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
1691,Yamaha Lexi,4,19200000.0,125,2020.0,1,3,1
1692,Yamaha Nmax Abs,3,25500000.0,155,2019.0,1,4,1
1693,Yamaha Aerox 155 Vva-s,5,21100000.0,155,2018.0,1,4,1
1694,Yamaha Aerox 155 Vva,3,21500000.0,155,2020.0,1,4,1
1695,Yamaha Nmax Abs,3,23400000.0,155,2018.0,1,4,1
1696,Yamaha N Max,4,24500000.0,155,2017.0,1,2,1
1697,Yamaha All New Nmax 155,11,28500000.0,155,2021.0,1,2,1
1698,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
1699,Yamaha X-ride,4,10000000.0,125,2016.0,1,2,1
1700,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
1701,Yamaha Mio M3 125,2,12100000.0,125,2019.0,1,4,1
1702,Yamaha Aerox 155 Vva-s,3,21500000.0,155,2018.0,1,4,1
1703,Yamaha Nmax Abs,3,25850000.0,155,2019.0,1,4,1
1704,Yamaha All New Nmax 155,1,22400000.0,156,2017.0,1,5,1
1705,Yamaha All New Xsr 155,1,31900000.0,155,2022.0,1,3,1
1706,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
1707,Yamaha Nmax Abs,2,23500000.0,155,2019.0,1,5,1
1708,Yamaha Soul Gt,3,10500000.0,125,2015.0,1,5,1
1709,Yamaha Fino Premium Fi Se,5,15200000.0,125,2021.0,1,2,1
1710,Yamaha Nmax Abs,8,27300000.0,155,2019.0,1,5,1
1711,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
1712,Yamaha N Max,4,25000000.0,155,2018.0,1,3,1
1713,Yamaha Mio S,3,11000000.0,125,2018.0,1,4,1
1714,Yamaha Aerox 155 Vva,3,21500000.0,155,2019.0,1,4,1
1715,Yamaha Nmax Abs,3,24500000.0,155,2018.0,1,5,1
1716,Yamaha Nmax Abs,1,24300000.0,155,2018.0,1,5,1
1717,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,5,1
1718,Yamaha Lexi,2,16500000.0,125,2018.0,1,2,1
1719,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
1720,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,5,1
1721,Yamaha Aerox 155 Vva,2,24500000.0,155,2019.0,1,5,1
1722,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
1723,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
1724,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,4,1
1725,Yamaha Mio Fino,3,11250000.0,110,2017.0,1,5,1
1726,Yamaha Nmax Abs,2,24500000.0,155,2020.0,1,4,1
1727,Yamaha Nmax Abs,3,25850000.0,155,2019.0,1,4,1
1728,Yamaha All New Nmax 155,1,21500000.0,155,2016.0,1,5,1
1729,Yamaha Aerox 155 Vva,3,20850000.0,150,2018.0,1,4,1
1730,Yamaha Nmax Abs,2,23500000.0,125,2018.0,1,5,1
1731,Yamaha Lexi,5,18500000.0,125,2019.0,1,4,1
1732,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,5,1
1733,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,4,1
1734,Yamaha All New Nmax 155 Abs,4,33000000.0,155,2021.0,1,2,1
1735,Yamaha New Mio M3 Cw,3,9850000.0,125,2015.0,1,4,1
1736,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,4,1
1737,Yamaha Nmax Abs,1,27500000.0,155,2019.0,1,3,1
1738,Yamaha Aerox 155 Vva,3,21500000.0,155,2019.0,1,2,1
1739,Yamaha Nmax Abs,2,24500000.0,125,2019.0,1,4,1
1740,Yamaha Lexi,4,18800000.0,125,2018.0,1,3,1
1741,Yamaha All New R15 155 Vva,5,25600000.0,155,2019.0,1,5,1
1742,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
1743,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,5,1
1744,Yamaha Nmax Abs,3,24850000.0,155,2019.0,1,4,1
1745,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,4,1
1746,Yamaha Nmax Abs,1,24300000.0,155,2021.0,1,4,1
1747,Yamaha Xmax Abs,1,51500000.0,250,2019.0,1,3,1
1748,Yamaha All New Nmax 155,4,29700000.0,155,2021.0,1,3,1
1749,Yamaha Freego S,3,12500000.0,125,2019.0,1,5,1
1750,Yamaha Nmax Special Custom,1,24500000.0,155,2019.0,1,4,1
1751,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
1752,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
1753,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
1754,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
1755,Yamaha New Mio M3 Cw,4,9000000.0,125,2016.0,1,3,1
1756,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
1757,Yamaha R15 Gp Movistar,2,18000000.0,155,2016.0,1,4,1
1758,Yamaha Nmax Abs,1,24500000.0,125,2018.0,1,5,1
1759,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,5,1
